date,location,zone,lat,lon,severity,deaths,displaced,cause,infra_damage_ksh_m,response_days,policy_existed,policy_enforced
2023-11-12,Migori Town,Migori Central,-1.0667,34.4667,High,3,1600,River overflow,8.5,5,True,False
2023-04-22,Uriri,Uriri,-1.1000,34.3500,High,2,1200,Flash flood,6.0,6,False,False
2022-11-08,Suna West,Suna West,-1.0833,34.4333,Critical,5,2800,River overflow,16.0,4,True,False
2022-05-05,Kuria East,Kuria East,-1.3000,34.6167,Medium,1,700,Flash flood,3.5,8,False,False
2021-11-18,Migori Town,Migori Central,-1.0667,34.4667,High,3,1800,River overflow,9.5,5,True,False
2021-04-25,Awendo,Awendo,-1.0167,34.4000,High,2,1300,Flash flood,6.5,6,True,False
2020-11-10,Suna East,Suna East,-1.0833,34.4500,High,4,2100,River overflow,11.5,4,True,False
2019-05-08,Uriri,Uriri,-1.1000,34.3500,Medium,1,800,Flash flood,4.0,7,False,False
2018-11-15,Migori Town,Migori Central,-1.0667,34.4667,High,3,1700,River overflow,9.0,5,True,False
2017-04-28,Kuria West,Kuria West,-1.2667,34.5167,Medium,2,1100,Flash flood,5.5,6,False,False
